cuit;razon_social;region;id_provincia;provincia;localidad;numero_acto;fecha_acto_administrativo;fecha_boletin_oficial
30710242697;Advenio Software SRL;Pampeana;6;Buenos Aires;Mar Del Plata;390;4/11/2014;20/11/2014
30634035458;Waldbott Asoc SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;401;14/11/2014;20/11/2014
30650966739;Planexware SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;402;14/11/2014;20/11/2014
30709101907;Qservices SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;400;14/11/2014;20/11/2014
30711825580;Machinalis SRL;Pampeana;14;Cordoba;Cordoba;1;3/2/2015;10/2/2015
30707874518;Tecnoap SA;Pampeana;6;Buenos Aires;La Plata;2;5/2/2015;11/2/2015
30709533939;Lambda Sistemas SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;4;5/2/2015;18/2/2015
30709603929;Syscac;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;3;5/2/2015;11/2/2015
30708718331;@R-Tech SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;5;19/2/2015;25/2/2015
30710521634;Blue Patagon SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;4;19/2/2015;25/2/2015
30709663336;Clariphy Argentina SA;Pampeana;14;Cordoba;Cordoba;6;23/2/2015;26/2/2015
30707727590;Plus Sistemas SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;7;24/2/2015;2/3/2015
30707855394;G Y F Soluciones Informaticas SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;8;25/2/2015;2/3/2015
30698507892;Vates SA;Pampeana;14;Cordoba;Cordoba;9;27/2/2015;5/3/2015
30611161022;Reservsrl;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;10;3/3/2015;6/3/2015
30707061010;Certant SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;12;6/3/2015;12/3/2015
30710674678;Bdt Group SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;11;6/3/2015;11/3/2015
30681519994;Consultoria En Tecnologia de Informacion Sociedad Anonima;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;13;11/3/2015;17/3/2015
30709175056;Intertron Mobile SA;Pampeana;14;Cordoba;Cordoba;15;13/3/2015;19/3/2015
30708122471;It Patagonia SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;14;16/3/2015;19/3/2015
30708406917;Sistemas Globales SA;Pampeana;2;Ciudad Autonoma De Buenos Aires;Ciudad Autonoma De Buenos Aires;17;18/3/2015;26/3/2015
30708516992;Maxisistemas SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;16;18/3/2015;26/3/2015
33709870799;Bizit Global SA;Pampeana;14;Cordoba;Cordoba;18;18/3/2015;26/3/2015
30708709324;Clarius Consulting SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;22;20/3/2015;30/3/2015
30711089213;Taller Technologies Sociedad Anomina;Pampeana;14;Cordoba;Cordoba;21;20/3/2015;30/3/2015
30688577671;Hasar Sistemas SRL;Pampeana;6;Buenos Aires;El Talar;24;6/4/2015;10/4/2015
30709252239;Inteligencia Y Tecnologia SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;23;6/4/2015;10/4/2015
30708705132;Huddle Group SA;Pampeana;2;Ciudad Autonoma De Buenos Aires;Ciudad Autonoma De Buenos Aires;25;13/4/2015;17/4/2015
30708775890;Iafh Global SA;Pampeana;6;Buenos Aires;Tandil;26;13/4/2015;17/4/2015
30707314903;Cubika SA;Pampeana;2;Ciudad Autonoma De Buenos Aires;Ciudad Autonoma De Buenos Aires;28;15/4/2015;21/4/2015
30707591788;Huenei Consultora Informatica SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;29;16/4/2015;21/4/2015
30709110361;Grupo Esfera SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;31;16/4/2015;22/4/2015
30709434485;Sorzana SA;Pampeana;14;Cordoba;Villa Maria;32;20/4/2015;23/4/2015
30710733844;Lammovil SA;Pampeana;14;Cordoba;Cordoba;33;27/4/2015;4/5/2015
30658210595;Soluciones Integrales SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;34;4/5/2015;27/4/2015
30661857818;Document Technologies SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;39;5/5/2015;12/5/2015
30698431454;Finnegans SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;37;5/5/2015;11/5/2015
30707296751;F C P Consultoresasociados SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;36;5/5/2015;11/5/2015
30710384068;Investigaciones Desarrollos Y Soluciones SRL;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;35;5/5/2015;11/5/2015
33709320039;Base Global SA;Pampeana;2;Ciudad Autonoma Buenos Aires;Ciudad Autonoma De Buenos Aires;38;5/5/2015;11/5/2015
30650531066;Posbeyikian Buchter Y Asociados SA;Pampeana;6;Buenos Aires;Vicente Lopez;41;8/5/2015;15/5/2015
30708679174;Lpc Condor Technologies SRL;Pampeana;6;Buenos Aires;San Isidro;40;8/5/2015;15/5/2015
